First Words
Hey
Ok
Coucou
Coucou
On
Encore
Dis
Hey
Je
Ah
Histoire
Ca
Coucou
Ca
Ha
Haha
Oh
Penseea
Bon
Héhé
Mon
Se
Ohhhhhh
Vasi
Des
Le
Ben
La
Coucou
Je
Pas
Je
<
Euh
Non
Bonne
Coucou
Normalement
Coucou
Vers
C'est
C
En
Non
Ok
Ben
Je
Coucou
Ouf
C'est
Je
Demain
Allez
Fou
Mardi
Ok
Petit
A
Je
No
Et
Hello
Tu
C'est
Ok
Punaise
Nn
De
Ca
Pour
Tkt
Alala
Cc
Ya
<
<
17h
ok
Coucou
Non
Chaud
vois
avec
genre
Alors
Ha
Dis
Tkt
Tu
Ya
Toi
Par
Appel
Moi
Bonne
Fatiguée
Working
J'ai
Je
:
Hey
Parce
Debout
Sniff
Fais
Ok
Oui
G
Ben
Elle
Ouais
Pas
Hé
MDR
G
Je
On
Non
Ok
Coucou
XD
Bah
Pr
^^
Je
Gut
Si
Tahiti
Le
Et
Et
Tu
Ah
Non
Fin
?
Tsss
Bon
Et
Ok^^
C'est
Quelle
Lol
Parce
Non
A
C'est
Coucou
Arf-_-
Putain
Tsss
Coucou
Tu
Géniale
Tu
Berk
Tu
J'en
Eh
Ok
Lol
Mais
T'es
Y
Moi
Ok
Ok
Mercredi
:
Salut
Salut
T'as
Haha
Ok
Ok
Jpensait
Coucou
L'ideal
Non
Tu
Ca
Hein
Désolée
Non
Mais
Bon
Oui
Si
C'est
Tu
Alors
Au
Coucou
Ouai
^^
Nan
Hey
Rien
Quoi
Rien
Ouaii
Sa
Heyy
Ok
Ouai
Heyy
Bonne
Arrete
Mouai
Meme
Moi
A
Qqn
Ah
Il
Ouai
Pck
Nan
Ouai
J'ai
Nan
Bah
J'taime
Allez
Sinon
Nan
Allez
Allez
Nan
Mais
Aller
J'ai
Je
Non
Nan
Rien
Nan
Et
Bah
Bah
X
En
Je
Nan
Ouaip
On
X
Moi
Les
Coucou
Par
Nan
Sinon
Ktf
LOL
Quelle
Ok
Mais
Heureusement
La
J'en
Hihihi
Coucou
Tu
Yep
Ah
Tu
Génial
Si
Parfait^^
Et
Ok
Les
G
Je
Alors
Non
4ans
Bon
Alors
Bah
Ok
On
ah
Ok
Oups
Bah
Oh
On
À
Enregistre
Coucou
Slt
Sonic
Je
J'ai
Oui
D'accord
Je
Ok
Je
Ouai
Salut
Une
^^
Ouai
Tkt
Ms
Tu
<
Ok^^
Coucou
Ok
A
Oui
Lol
Coucou
Il
Coucou
Tu
^^
Sinon
Ouai
Alors
Vous
Je
Putain
Cc
Tu
<
Je
Aussi
Ahh
Sa
Ok
Ouai
Ouai
Tu
Moi
Oki
Ouai
Yen
De
Coucou
Tu
Bonsoir
Tant
Tout
Lol
Beh
Loin
On
Nan
J'ai
Ouai
Oh
Ah
Toi
Lol
Totalement
D'abord
Comme
On
Ouais
Tkt
En
Je
Hey
Je
Hey
Haha
Jsui
Alors
A
We
Bon
I
Ben
Come
T
Pourquoi
Ok
J'ai
Tu
Taper
Ha
Oui
Alors
Mais
Wép
Il
Tu
C'est
D'accord
Besoin
dsl
beh
Mais
Demain
Enfin
J'rentre
Hey
T'inquietes
Pfou
C'est
Dors
Tu
Alors
Deja
Tu
Je
Tu
19h45
Hmm
Ok
Demain
Coucou
par
Tvmag2
A
C'est
On
On
On
Plein
Cc
Celui
Pas
Languie
Salut
Je
Ok
Remarque
Yes
Enfoncage
<
Tu
Oui
XD
10
Je
Great
Dsl
Non
Pourquoi
Mince
Ma
Ah
Ok
Coucou
Jsai
Ah
Pas
Bisous
Yes
Samedi
Oui
Cool
Faut
Coucou
Amouuuuur
Ouioui^^
Oui
Oui
Ca
Ca
Moui
Tiens
Tu
Lol^^
Okok^^
J'ai
Oui
Jsui
Dis
Hep
Oui
Je
Tel
Oui
Tu
Mail
Tu
J'attends
Ha
Coucou
Quoi
<
<
Suis
Ça
Le
Coucou
Ouai
Tout
Salut
Salut
Coucou
Après
Non
Vien
Hey
On
Ouii
Coucou
Mes
Jvais
Cè
Parce
Tu
Tu
Sympa
Non
Suis
Kel
J
Cè
On
Genial
Cè
Pour
Ah
Plutot
Ok
?
Coucou
Tu
Dis
Ca
Et
Je
Je
Bien
Je
Hey
Oui
Ok
Dsl
Je
J'ai
Heyy
Bien
Ahh
Je
Alors
Moi
Sonne
Oui
Weshhh
Ok.
Au
Ok
Les
Merci
Pas
Ok
Merci
Courage
Tu
Le
Ha
Je
Classe
Pas
Adjugé
Quoique
Oui
Ben
Tu
Ou
En
Ca
Alors
Mm
Le
Quel
<
Australian
Merci
Pour
Cette
Coucou
Oui
Re
Je
Alors
Grave
La
Pas
Bon
Tkt
Ten
Ok
Coucou
Ok
bonjour
si
Merci
Bonne
C'est
Alors
Ten
Ok
Oui
ça
Merci
Pas
Oui
Ma
Coucou
Nn
Coucou
Beurk
Je
Ok
Ok
On
Je
Jsui
J'espère
Cc
Je
Of
Hey
Hey
Ia
Hey
Un
Hey
Coucou
Coucou
Je
Ok
Jvais
