Oui + Word,# of Occurences ,Translation,Part,Notes
Oui je,210,Yes I,Yes + sentence beginning (subject),
Oui mais,202,Yes but,Yes + connective,
"Oui ,",194,"Yes ,",Statement,
Oui oui,154,Yes yes,Statement,
Oui !,109,Yes !,Statement,
Oui c'est,92,Yes It's,Yes + connective,
Oui :,89,Yes :,Statement,Beginning of emoticon
Oui ça,74,Yes this,Yes + connective,
Oui .,73,Yes .,Statement,
Oui et,62,Yes and ,Yes + connective,
