Je + Word,# of Occurences ,Translation,Part,Notes
Je suis,861,I am,Verb,
Je sais,558,I say,Verb,
Je vais,364,I go,Verb,
Je viens,225,I'm coming,Verb,
Je te,223,I (Verb applies to 'you'),Reflexive pronoun,
Je me,132,I (Verb applies to 'me'),Reflexive pronoun,
Je pense,118,I think,Verb,
Je peux,101,I can,Verb,
Je ne,92,I don't,Verb,
Je pars,88,I leave,Verb,
