Ok + Word,# of Occurences ,Translation,Part,Notes
"Ok ,",147,"Ok ,",Statement,
Ok !,137,Ok !,Statement,
Ok je,106,Ok + I sentence beginning (subject),,
Ok merci,94,Ok thanks,Ok + thanks,
Ok :,75,Ok :,Statement,Beginning of emoticon
Ok ok,73,Ok ok,Statement,
Ok . . .,65,Ok . . .,Statement,
Ok ca,54,Ok that,Ok + connective,
Ok pas,50,Ok (not),Ok + negative,
Ok ben,45,Ok well,Ok + connective,
